block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id
a_1-11-5,D11,1,1,Beaumont Station,3411,1_merged_67042,2895_merged_72205
b_1-8-14,F8,1,1,University of Manitoba,3461,1_merged_67045,2585_merged_78989
b_3-5-4,F5,1,0,Garden City Centre,3444,3_merged_67046,11541
b_1-189-2,889,1,0,Tecumseh Loop,3387,1_merged_67045,7578_merged_82715
a_2-2-2,FX2,1,0,Garden City Centre,3574_merged_67057,2_merged_67044,7316_merged_74091
b_1-5-3,F5,1,1,Fort Rouge Station,3445,1_merged_67045,1780_merged_83296
b_1-140-1,440,1,1,Crossroads Station,3305,1_merged_67045,5988
b_1-140-1,440,1,0,Lakeside Meadows,3304,1_merged_67045,5989
b_1-70-7,70,1,1,Unicity,3262,1_merged_67045,5241_merged_76352
b_1-17-1,D17,1,0,Kildonan Place,3436,1_merged_67045,4112_merged_83357
b_3-10-3,D10,1,1,Waterford Green,3555,3_merged_67046,12007_merged_79875
a_2-172-1,672,1,0,University of Manitoba,3346,2_merged_67044,9966_merged_67398
b_2-74-5,74,1,0,Waterford Green,3270,2_merged_67047,10494_merged_78871
b_1-74-8,F9,1,1,University of Manitoba,3467,1_merged_67045,5371_merged_77487
b_2-176-2,676,1,1,Bridgwater,3350_merged_67098,2_merged_67047,10754_merged_80559
a_2-6-4,F6,1,1,South St. Vital,3449,2_merged_67044,7906_merged_68179
b_1-3-14,FX3,1,0,Redonda & Pandora,3577,1_merged_67045,1156_merged_75884
a_1-5-14,F5,1,1,Fort Rouge Station,3445,1_merged_67042,1736_merged_72327
b_1-5-6,F5,1,1,Fort Rouge Station,3445,1_merged_67045,1826_merged_82622
a_1-19-5,D19,1,0,Downtown,3443,1_merged_67042,3932_merged_68265
b_3-5-4,F5,1,1,Fort Rouge Station,3445,3_merged_67046,11540
a_3-124-1,224,1,1,Polo Park,3517,3_merged_67043,12341_merged_74694
a_1-16-1,D16,1,1,RRC Polytech,3566,1_merged_67042,3587_merged_73715
a_1-1-29,BLUE,1,1,University of Manitoba,3397,1_merged_67042,270
a_1-1-29,BLUE,1,0,Unicity Shopping Centre,3396,1_merged_67042,271
a_1-1-29,BLUE,1,0,Unicity Shopping Centre,3396,1_merged_67042,273
a_1-11-4,F6,1,0,Templeton & Salter,3448,1_merged_67042,2861_merged_69229
a_1-1-29,F9,1,0,Kildonan Place,3465,1_merged_67042,275
a_1-1-29,D10,1,1,Waterford Green,3555,1_merged_67042,276
a_1-15-13,D15,1,1,Downtown,3564,1_merged_67042,3521_merged_71478
a_6-15-56,D15,1,1,Unicity,3562,6,16705
a_6-15-56,D15,1,0,Sage Creek,3561,6,16704
a_6-15-56,D15,1,1,Unicity,3562,6,16707
a_6-15-56,D15,1,0,Sage Creek,3561,6,16706
a_6-15-55,D15,1,1,Unicity,3562,6,16700
a_6-15-56,D15,1,1,Unicity,3562,6,16703
b_3-5-3,F5,1,0,Garden City Centre,3444,3_merged_67046,11516_merged_78972
b_3-10-3,D10,1,1,Waterford Green,3555,3_merged_67046,12019
b_2-1-9,BLUE,1,0,Unicity Shopping Centre,3396,2_merged_67047,7955_merged_79457
b_1-22-3,22,1,1,Unicity,3233,1_merged_67045,4356_merged_78136
b_1-136-1,F5,1,1,Fort Rouge Station,3445,1_merged_67045,5911_merged_78660
a_6-48-51,48,1,0,Redonda & Pandora,3261,6,17258
a_6-48-51,48,1,1,Kildonan Place,3260,6,17259
b_2-8-3,F8,1,1,University of Manitoba,3461,2_merged_67047,8851_merged_77800
a_2-37-2,39,1,1,Waterford Green,3253,2_merged_67044,9357_merged_73922
a_6-48-51,48,1,0,Redonda & Pandora,3261,6,17250
a_6-48-51,48,1,1,Kildonan Place,3260,6,17251
a_6-48-51,48,1,0,Redonda & Pandora,3261,6,17252
a_6-48-51,48,1,1,Kildonan Place,3260,6,17253
a_6-48-51,48,1,0,Redonda & Pandora,3261,6,17254
a_6-48-51,48,1,1,Kildonan Place,3260,6,17255
a_6-48-51,48,1,0,Redonda & Pandora,3261,6,17256
a_6-48-51,48,1,1,Kildonan Place,3260,6,17257
b_2-172-1,672,1,1,Prairie Pointe,3345,2_merged_67047,10709
