fare_id,route_id,origin_id,destination_id,contains_id
1,895,,,
1,642,,,
1,FX4,,,
1,FX3,,,
1,330,,,
1,334,,,
1,649,,,
1,884,,,
1,22,,,
1,F5,,,
1,678,,,
1,D17,,,
1,671,,,
1,D12,,,
1,223,,,
1,D10,,,
1,886,,,
1,F7,,,
1,694,,,
1,677,,,
1,BLUE,,,
1,332,,,
1,672,,,
1,43,,,
1,37,,,
1,336,,,
1,676,,,
1,662,,,
1,D16,,,
1,558,,,
1,691,,,
1,690,,,
1,D15,,,
1,641,,,
1,220,,,
1,D19,,,
1,224,,,
1,680,,,
1,F8,,,
1,888,,,
1,883,,,
1,FX2,,,
1,446,,,
1,551,,,
1,D11,,,
1,31,,,
1,442,,,
1,F6,,,
1,D13,,,
1,887,,,
1,39,,,
1,833,,,
1,48,,,
1,70,,,
1,650,,,
1,552,,,
1,74,,,
1,444,,,
1,28,,,
1,440,,,
1,557,,,
1,F9,,,
1,91,,,
1,664,,,
1,885,,,
1,679,,,
1,38,,,
1,881,,,
1,D14,,,
1,556,,,
1,889,,,
